name	longitude	latitude	issues	prov	key	scientificName	datasetKey	publishingOrgKey	installationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	hostingOrganizationKey	basisOfRecord	occurrenceStatus	sex	establishmentMeans	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	continent	stateProvince	year	month	day	eventDate	modified	lastInterpreted	references	license	institutionKey	isInCluster	geodeticDatum	class	countryCode	country	institutionID	county	gbifID	language	type	preparations	catalogNumber	institutionCode	identifier	higherGeography	nomenclaturalCode	verbatimEventDate	endDayOfYear	georeferenceVerificationStatus	locality	collectionCode	verbatimLocality	occurrenceID	recordedBy	otherCatalogNumbers	startDayOfYear	occurrenceRemarks	accessRights	bibliographicCitation	higherClassification	lifeStage	dateIdentified	coordinateUncertaintyInMeters	elevation	habitat	dynamicProperties	taxonID	rights	identificationRemarks	reproductiveCondition	identifiedBy	identificationReferences	http://unknown.org/recordId	identificationQualifier	ownerInstitutionCode	http://unknown.org/recordEnteredBy	collectionID	georeferenceSources	individualCount	elevationAccuracy	identificationVerificationStatus	eventRemarks	locationAccordingTo	locationRemarks	eventTime	recordNumber	georeferencedDate	georeferencedBy	georeferenceProtocol	verbatimCoordinateSystem	organismID	previousIdentifications	infraspecificEpithet	projectId	depth	depthAccuracy	rightsHolder	namePublishedInYear	fieldNumber	vernacularName	nameAccordingTo	acceptedNameUsage	datasetName	locationID	datasetID	parentNameUsage	identificationID	samplingProtocol	associatedOccurrences	collectionKey	verbatimElevation	associatedSequences	georeferenceRemarks	namePublishedIn	disposition	originalNameUsage	fieldNotes	municipality	associatedReferences	taxonRemarks	informationWithheld	typifiedName	typeStatus	higherGeographyID	occID
Peromyscus californicus (Gambel, 1848)	-116.552895	33.15166	gass84,gdativ,incomis	gbif	2381411036	Peromyscus californicus (Gambel, 1848)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.165+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	2438028	1	44	359	1459	3240723	2437961	2438028	2438028	Peromyscus californicus (Gambel, 1848)	Animalia	Chordata	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	Peromyscus	californicus	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2018	3	27	2018-03-27	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.165+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26397	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	San Diego	2381411036	en	PhysicalObject	skin & skull	26397	SDNHM	urn:catalog:SDNHM:Mammals:26397	| USA | California | San Diego |  |  |  |	ICZN	3/27/2018	86	requires verification	San Felipe Valley, 0.9 mi. S Paroli Spring	Mammals	USA | California | San Diego | San Felipe Valley, 0.9 mi. S Paroli Spring	urn:catalog:SDNHM:Mammals:26397	S. Tremor	SFV20	86	skin & skull	http://vertnet.org/resources/norms.html	urn:catalog:SDNHM:Mammals:26397. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	Peromyscus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Peromyscus californicus (Gambel, 1848)	-116.69393	33.299395	gass84,gdativ,incomis	gbif	2381411955	Peromyscus californicus (Gambel, 1848)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.467+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	2438028	1	44	359	1459	3240723	2437961	2438028	2438028	Peromyscus californicus (Gambel, 1848)	Animalia	Chordata	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	Peromyscus	californicus	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2018	6	19	2018-06-19	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.467+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26632	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	San Diego	2381411955	en	PhysicalObject	skin & skull	26632	SDNHM	urn:catalog:SDNHM:Mammals:26632	| USA | California | San Diego |  |  |  |	ICZN	6/19/2018	170	requires verification	Warner Valley, spring 0.7 mi. S Puerta La Cruz	Mammals	USA | California | San Diego | Warner Valley, spring 0.7 mi. S Puerta La Cruz	urn:catalog:SDNHM:Mammals:26632	S. Tremor	2WV1	170	Skin and skull	http://vertnet.org/resources/norms.html	urn:catalog:SDNHM:Mammals:26632. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	Peromyscus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Peromyscus californicus (Gambel, 1848)	-116.55059	33.15253	gass84,gdativ,incomis	gbif	2381411182	Peromyscus californicus (Gambel, 1848)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.170+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	2438028	1	44	359	1459	3240723	2437961	2438028	2438028	Peromyscus californicus (Gambel, 1848)	Animalia	Chordata	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	Peromyscus	californicus	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2017	7	27	2017-07-27	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.170+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26351	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	San Diego	2381411182	en	PhysicalObject	skin & skull	26351	SDNHM	urn:catalog:SDNHM:Mammals:26351	| USA | California | San Diego |  |  |  |	ICZN	7/27/2017	208	requires verification	San Felipe Valley, 0.8 mi. SSE Paroli Spring	Mammals	USA | California | San Diego | San Felipe Valley, 0.8 mi. SSE Paroli Spring	urn:catalog:SDNHM:Mammals:26351	S. Tremor	SFV15	208	skin & skull	http://vertnet.org/resources/norms.html	urn:catalog:SDNHM:Mammals:26351. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	Peromyscus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
Peromyscus californicus (Gambel, 1848)	-116.69362	33.30937	gass84,gdativ,incomis	gbif	2381410238	Peromyscus californicus (Gambel, 1848)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.170+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	NA	NATIVE	2438028	1	44	359	1459	3240723	2437961	2438028	2438028	Peromyscus californicus (Gambel, 1848)	Animalia	Chordata	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	Peromyscus	californicus	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2017	8	9	2017-08-09	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.170+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26353	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	San Diego	2381410238	en	PhysicalObject	skin & skull	26353	SDNHM	urn:catalog:SDNHM:Mammals:26353	| USA | California | San Diego |  |  |  |	ICZN	8/9/2017	221	requires verification	Warner Valley, San Luis Rey R. at Puerta La Cruz	Mammals	USA | California | San Diego | Warner Valley, San Luis Rey R. at Puerta La Cruz	urn:catalog:SDNHM:Mammals:26353	S. Tremor	WV9	221	skin & skull	http://vertnet.org/resources/norms.html	urn:catalog:SDNHM:Mammals:26353. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	Peromyscus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
Peromyscus californicus (Gambel, 1848)	-116.698115	33.308695	gass84,gdativ,incomis	gbif	2381411089	Peromyscus californicus (Gambel, 1848)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.626+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	2438028	1	44	359	1459	3240723	2437961	2438028	2438028	Peromyscus californicus (Gambel, 1848)	Animalia	Chordata	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	Peromyscus	californicus	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2017	8	7	2017-08-07	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.626+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26156	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	San Diego	2381411089	en	PhysicalObject	skin & skull	26156	SDNHM	urn:catalog:SDNHM:Mammals:26156	| USA | California | San Diego |  |  |  |	ICZN	8/7/2017	219	requires verification	Warner Valley, 0.4 mi. W Puerta La Cruz	Mammals	USA | California | San Diego | Warner Valley, 0.4 mi. W Puerta La Cruz	urn:catalog:SDNHM:Mammals:26156	S. Tremor	WV 1	219	skin & skull	http://vertnet.org/resources/norms.html	urn:catalog:SDNHM:Mammals:26156. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	Peromyscus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
Peromyscus californicus (Gambel, 1848)	-116.40115	32.67821	gass84,gdativ,incomis	gbif	2381411025	Peromyscus californicus (Gambel, 1848)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.169+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	2438028	1	44	359	1459	3240723	2437961	2438028	2438028	Peromyscus californicus (Gambel, 1848)	Animalia	Chordata	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	Peromyscus	californicus	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2017	10	26	2017-10-26	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.169+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26349	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	San Diego	2381411025	en	PhysicalObject	skin & skull	26349	SDNHM	urn:catalog:SDNHM:Mammals:26349	| USA | California | San Diego |  |  |  |	ICZN	10/26/2017	299	requires verification	0.4 mi. N Clover Flat Pit	Mammals	USA | California | San Diego | 0.4 mi. N Clover Flat Pit	urn:catalog:SDNHM:Mammals:26349	S. Tremor	CF12	299	skin & skull; plot 3	http://vertnet.org/resources/norms.html	urn:catalog:SDNHM:Mammals:26349. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	Peromyscus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
Peromyscus californicus (Gambel, 1848)	-119.7478	37.128448		gbif	2620850988	Peromyscus californicus (Gambel, 1848)	26b8da97-b067-4220-8335-7c267726ba41	e794e60e-e558-4549-99f8-cfb241cdce24	1de87984-ce7c-407c-988c-a28014ae53ad	US	DWC_ARCHIVE	2021-05-12T16:04:36.716+00:00	2021-05-12T16:04:50.476+00:00	64	96710dc8-fecb-440d-ae3e-c34ae8a9616f	PRESERVED_SPECIMEN	PRESENT	FEMALE	NA	2438028	1	44	359	1459	3240723	2437961	2438028	2438028	Peromyscus californicus (Gambel, 1848)	Animalia	Chordata	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	Peromyscus	californicus	SPECIES	ACCEPTED	LC	NA	California	2017	11	17	2017-11-17	2021-03-25T05:11:03.000+00:00	2021-05-12T16:04:50.476+00:00	https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=470238	http://creativecommons.org/publicdomain/zero/1.0/legalcode	NA	FALSE	WGS84	Mammalia	US	United States of America	NA	Madera	2620850988	NA	NA	-80 degrees Celsius	NEON028HX	NEON	470238	NA	NA	11/17/17	NA	NA	Domain 17, San Joaquin Site, Plot SJER_010, (plot dimensions: 90m x 90m)	MAMC-HA	NA	NEON028HX	Emily Artz (ORCID 0000-0002-4748-8985)	NEON sampleID: SJER.20171117.R1478.H	321	Associated with NEON small mammal individual NEON.MAM.D17.R1478; Hair and/or whisker sample collected from a small mammal as part of the NEON small mammal box trapping protocol conducted for 1-3 nights 4-6 times annually. Archived at -80 degrees C	NA	NA	Organism|Animalia|Chordata|Vertebrata|Mammalia|Rodentia|Muroidea|Cricetidae|Peromyscus	Adult	2017-11-17T00:00:00	64	418	evergreenForest; slope aspect: 187.06; slope gradient: 8.11; soil type order: Alfisols	earLength: 21 mm, hindfootLength: 25 mm, tailLength: 113 mm, totalLength: 193 mm, weight: 37 g, adultTicksAttached: not measured, nymphalTicksAttached: not measured, larvalTicksAttached: not measured, tickNumber: not measured, sampleContents: Hair and whisker sample, QAQC: Sample may be less than < 5mg	79472	http://creativecommons.org/publicdomain/zero/1.0/	Determiner information updated 2021-01	Not pregnant, Nipples enlarged, Vagina swollen	Emily Artz (ORCID 0000-0002-4748-8985)	Other (describe in remarks)	urn:uuid:cde437a8-b42c-4e10-bd2a-cdc3885bcb73	cf. species	ASU	preprocessed	4979149d-fc28-46d7-b17b-352c5b77a78b	Geo 7X (H-Star)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
Peromyscus californicus (Gambel, 1848)	-116.540695	32.840531	gass84,gdativ,incomis	gbif	2381410373	Peromyscus californicus (Gambel, 1848)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.204+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	NATIVE	2438028	1	44	359	1459	3240723	2437961	2438028	2438028	Peromyscus californicus (Gambel, 1848)	Animalia	Chordata	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	Peromyscus	californicus	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2016	11	3	2016-11-03	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.204+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26240	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	San Diego	2381410373	en	PhysicalObject	skin & skull	26240	SDNHM	urn:catalog:SDNHM:Mammals:26240	| USA | California | San Diego |  |  |  |	ICZN	11/3/2016	308	requires verification	Pine Valley	Mammals	USA | California | San Diego | Pine Valley	urn:catalog:SDNHM:Mammals:26240	S. Tremor	NA	308	NA	http://vertnet.org/resources/norms.html	urn:catalog:SDNHM:Mammals:26240. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	Peromyscus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
Peromyscus californicus (Gambel, 1848)	-116.48468	33.54061	gass84,gdativ,incomis	gbif	2381410339	Peromyscus californicus (Gambel, 1848)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:16.816+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	NATIVE	2438028	1	44	359	1459	3240723	2437961	2438028	2438028	Peromyscus californicus (Gambel, 1848)	Animalia	Chordata	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	Peromyscus	californicus	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2013	6	25	2013-06-25	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:16.816+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-25403	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	Riverside	2381410339	en	PhysicalObject	skin & skull	25403	SDNHM	urn:catalog:SDNHM:Mammals:25403	| USA | California | Riverside |  |  |  |	ICZN	6/25/2013	176	requires verification	Santa Rosa Mts., Garnet Queen Canyon, 0.2 mi. NW Mountain Home Spring	Mammals	USA | California | Riverside | Santa Rosa Mts., Garnet Queen Canyon, 0.2 mi. NW Mountain Home Spring	urn:catalog:SDNHM:Mammals:25403	S. Tremor	GQ 29	176	skin & skull	http://vertnet.org/resources/norms.html	urn:catalog:SDNHM:Mammals:25403. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	Peromyscus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
Peromyscus californicus (Gambel, 1848)	-116.4848	33.54097	gass84,gdativ,incomis	gbif	2381411055	Peromyscus californicus (Gambel, 1848)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:16.827+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	2438028	1	44	359	1459	3240723	2437961	2438028	2438028	Peromyscus californicus (Gambel, 1848)	Animalia	Chordata	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	Peromyscus	californicus	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2013	6	26	2013-06-26	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:16.827+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-25397	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	Riverside	2381411055	en	PhysicalObject	skin & skull	25397	SDNHM	urn:catalog:SDNHM:Mammals:25397	| USA | California | Riverside |  |  |  |	ICZN	6/26/2013	177	requires verification	Santa Rosa Mts., Garnet Queen Canyon, 0.2 mi. NW Mountain Home Spring	Mammals	USA | California | Riverside | Santa Rosa Mts., Garnet Queen Canyon, 0.2 mi. NW Mountain Home Spring	urn:catalog:SDNHM:Mammals:25397	S. Tremor	GQ 30	177	skin & skull	http://vertnet.org/resources/norms.html	urn:catalog:SDNHM:Mammals:25397. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	Peromyscus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10
Peromyscus californicus (Gambel, 1848)	-116.90671	33.89204	gass84,gdativ,incomis	gbif	2381410417	Peromyscus californicus (Gambel, 1848)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:16.800+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	2438028	1	44	359	1459	3240723	2437961	2438028	2438028	Peromyscus californicus (Gambel, 1848)	Animalia	Chordata	Rodentia	Cricetidae	Peromyscus	Peromyscus californicus	Peromyscus	californicus	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2013	8	17	2013-08-17	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:16.800+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-25472	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	Riverside	2381410417	en	PhysicalObject	skin & skull	25472	SDNHM	urn:catalog:SDNHM:Mammals:25472	| USA | California | Riverside |  |  |  |	ICZN	8/17/2013	229	requires verification	2.9 mi. SW Banning	Mammals	USA | California | Riverside | 2.9 mi. SW Banning	urn:catalog:SDNHM:Mammals:25472	S. Tremor	Ban 28	229	skin & skull	http://vertnet.org/resources/norms.html	urn:catalog:SDNHM:Mammals:25472. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	Peromyscus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11
